Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TSA,Pt/TSA,Adj. Pts,Possessions,ThreshPts,Adj Pt,FGA,FTA,3FG,AST,TO,ORB,DRB,TRB,STL,BLK,PF,% of TRB,% of STL,% of PF,% of AST,% of BLK,% of ThreshPts,Position,Pos Num,Est Pos 1,Min Adj 1,Trim 1,Tm Avg 1,Adj Pos 2,Trim 2,Tm Avg 2,Adj Pos 3,Trim 3,Tm Avg 3,Adj Pos 4,Position,Est Off. Role 1,Min Adj 1,Trim 1,Tm Avg 1,Adj Off. Role 2,Trim 2,Tm Avg 2,Adj Off. Role 3,Trim 3,Tm Avg 3,Adj Off. Role 4,Offensive Role,Player,Adj. Pt,FGA,FTA,3FG,AST,TO,ORB,DRB,TRB,STL,BLK,PF,Scoring,Ballhandling,Rebounding,Defense,Pos Const,Raw BPM,% Min,Contrib,Player,Adj. Pt,FGA,FTA,3FG,AST,TO,ORB,DRB,TRB,STL,BLK,PF,Scoring,Ballhandling,Rebounding,Defense,Pos Const,Raw OBPM,% Min,Contrib,Player,Pos,Off. Role,Minutes,MPG,BPM,OBPM,DBPM,Contrib,VORP,ReMPG,ReMin,ExpBPM,ReBPM,ReOBPM,ReDBPM
1,Megan Stevenson,21,2,,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,4,0,0,0,0.00,0.0,6,0,0.0,0.0,0.0,0.0,0.0,66.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,SF,3,2.1,3.0,3.0,2.94,3.0,3.0,2.98,3.0,3.0,3.00,3.0,3.0,6.0,4.1,4.1,3.01,4.1,4.1,3.00,4.1,4.1,3.00,4.1,4.1,Megan Stevenson,0.860,-0.731,-0.321,0.389,0.811,-0.964,0.393,0.149,0.000,1.186,1.010,-0.367,0.0,-64.2,0.0,0.0,1.5,-62.7,0.4%,-0.2,Megan Stevenson,0.605,-0.440,-0.194,0.477,0.476,-0.733,0.513,-0.003,0.000,0.236,0.406,-0.439,0.0,-48.8,0.0,0.0,0.5,-48.4,0.4%,-0.2,Megan Stevenson (1st),3.0,4.1,3,1.5,-67.1,-50.2,-16.9,-0.2,-0.23,0.5,149.0,-4.7,-5.9,-5.6,-0.3
2,Shaylee Gonzales,21,21,,715,154,327,0.471,34,105,0.324,120,222,0.54,,47,64,0.734,46,63,109,78,50,4,66,39,389,355,1.10,365.4,1431,127,25.5,22.9,4.5,2.4,5.5,4.6,3.2,4.4,7.6,3.5,0.3,2.7,18.0%,37.9%,13.4%,25.9%,5.1%,33.0%,SG,2,2.0,2.0,2.0,2.94,2.1,2.1,2.98,2.1,2.1,3.00,2.1,2.1,1.5,1.6,1.6,3.01,1.6,1.6,3.00,1.6,1.6,3.00,1.6,1.6,Shaylee Gonzales,0.860,-0.594,-0.261,0.389,0.708,-0.964,0.492,0.134,0.000,1.268,1.152,-0.367,8.1,-0.6,2.2,3.8,-2.3,11.2,85.1%,9.5,Shaylee Gonzales,0.605,-0.352,-0.155,0.477,0.476,-0.664,0.554,-0.052,0.000,0.210,0.548,-0.439,7.8,-0.5,1.6,-0.3,-1.3,7.3,85.1%,6.2,Shaylee Gonzales (3rd),2.1,1.6,715,34.0,6.8,5.4,1.3,5.8,7.47,28.6,0.0,0.3,6.8,5.4,1.3
3,Kate Vorwaller,21,3,,6,2,3,0.667,1,1,1,1,2,0.5,,0,2,0,0,0,0,0,1,0,1,2,5,4,1.29,4.7,12,2,39.5,25.0,16.7,8.3,0.0,8.3,0.0,0.0,0.0,8.3,0.0,16.7,0.0%,90.3%,81.9%,0.0%,0.0%,66.1%,PG,1,0.7,1.0,1.0,2.94,1.0,1.0,2.98,1.0,1.0,3.00,1.0,1.0,0.4,3.6,3.6,3.01,3.6,3.6,3.00,3.6,3.6,3.00,3.6,3.6,Kate Vorwaller,0.860,-0.703,-0.309,0.389,0.586,-0.964,0.608,0.117,0.000,1.365,1.319,-0.367,14.5,-8.0,0.0,5.3,0.0,11.7,0.7%,0.1,Kate Vorwaller,0.605,-0.422,-0.186,0.477,0.476,-0.583,0.604,-0.109,0.000,0.178,0.717,-0.439,14.2,-4.9,0.0,-5.8,-1.4,2.1,0.7%,0.0,Kate Vorwaller (1st),1.0,3.6,6,2.0,7.3,0.3,7.0,0.1,0.07,0.9,148.0,-4.6,-4.1,-4.4,0.3
4,Devry Millett,21,7,,14,1,6,0.167,0,2,0,1,4,0.25,,0,0,,0,0,0,0,1,0,2,1,2,6,0.33,1.6,28,-2,5.7,21.4,0.0,0.0,0.0,7.1,0.0,0.0,0.0,3.6,0.0,3.6,0.0%,38.7%,17.5%,0.0%,0.0%,-32.0%,SG,2,1.3,1.9,1.9,2.94,1.9,1.9,2.98,1.9,1.9,3.00,1.9,1.9,8.7,5.0,5.0,3.01,5.0,5.0,3.00,5.0,5.0,3.00,5.0,5.0,Devry Millett,0.860,-0.780,-0.343,0.389,0.686,-0.964,0.512,0.131,0.000,1.284,1.181,-0.367,-11.8,-6.9,0.0,3.3,2.3,-13.1,1.7%,-0.2,Devry Millett,0.605,-0.472,-0.208,0.477,0.476,-0.650,0.563,-0.062,0.000,0.204,0.578,-0.439,-6.7,-4.6,0.0,-0.8,0.0,-12.2,1.7%,-0.2,Devry Millett (2nd),1.9,5.0,14,2.0,-17.5,-14.0,-3.5,-0.3,-0.26,1.3,145.3,-4.5,-5.7,-5.4,-0.3
5,Maria Albiero,21,21,,632,41,117,0.35,16,61,0.262,25,56,0.446,,23,27,0.852,5,58,63,69,14,1,42,41,121,129,0.94,112.4,1265,26,8.9,9.3,2.1,1.3,5.5,3.3,0.4,4.6,5.0,1.1,0.1,3.2,11.7%,12.0%,15.9%,25.9%,1.4%,7.6%,PG,1,2.1,2.0,2.0,2.94,2.1,2.1,2.98,2.1,2.1,3.00,2.1,2.1,3.6,3.7,3.7,3.01,3.6,3.6,3.00,3.6,3.6,3.00,3.6,3.6,Maria Albiero,0.860,-0.705,-0.310,0.389,0.707,-0.964,0.493,0.134,0.000,1.268,1.153,-0.367,0.9,0.7,0.8,0.3,0.5,3.2,75.3%,2.4,Maria Albiero,0.605,-0.424,-0.186,0.477,0.476,-0.663,0.555,-0.052,0.000,0.210,0.550,-0.439,1.7,0.4,0.0,-1.1,-0.5,0.4,75.3%,0.3,Maria Albiero (4th),2.1,3.6,632,30.1,-1.2,-1.4,0.2,-0.9,0.62,25.3,0.0,-0.3,-1.2,-1.4,0.2
6,Tegan Graham,21,21,,511,62,127,0.488,33,75,0.44,29,52,0.558,,8,12,0.667,13,48,61,44,15,11,30,47,165,132,1.25,156.2,1023,68,15.3,12.4,1.2,3.2,4.3,2.9,1.3,4.7,6.0,1.5,1.1,4.6,14.1%,15.9%,22.6%,20.4%,19.4%,24.5%,SG,2,2.8,2.7,2.7,2.94,2.8,2.8,2.98,2.8,2.8,3.00,2.8,2.8,2.6,2.7,2.7,3.01,2.7,2.7,3.00,2.7,2.7,3.00,2.7,2.7,Tegan Graham,0.860,-0.652,-0.287,0.389,0.783,-0.964,0.420,0.145,0.000,1.207,1.048,-0.367,6.0,0.5,1.2,1.2,-0.5,8.4,60.8%,5.1,Tegan Graham,0.605,-0.389,-0.171,0.477,0.476,-0.715,0.524,-0.016,0.000,0.229,0.444,-0.439,5.7,0.0,0.6,-1.2,-0.3,4.8,60.8%,2.9,Tegan Graham (5th),2.8,2.7,511,24.3,4.0,2.9,1.0,2.4,3.63,20.4,0.0,-1.2,4.0,2.9,1.0
7,Kaylee Smiler,21,20,,334,22,57,0.386,17,43,0.395,5,14,0.357,,2,2,1,2,20,22,24,12,7,15,25,63,58,1.09,59.2,668,20,8.8,8.5,0.3,2.5,3.6,2.2,0.3,3.0,3.3,1.8,1.0,3.7,7.8%,19.5%,18.4%,17.0%,18.9%,11.3%,PG,1,2.2,2.1,2.1,2.94,2.1,2.1,2.98,2.1,2.1,3.00,2.1,2.1,3.9,3.9,3.9,3.01,3.9,3.9,3.00,3.9,3.9,3.00,3.9,3.9,Kaylee Smiler,0.860,-0.720,-0.317,0.389,0.709,-0.964,0.490,0.134,0.000,1.266,1.150,-0.367,2.4,0.4,0.5,2.1,0.9,6.3,39.8%,2.5,Kaylee Smiler,0.605,-0.433,-0.191,0.477,0.476,-0.665,0.554,-0.051,0.000,0.210,0.547,-0.439,2.8,0.2,0.0,-0.7,-0.3,2.0,39.8%,0.8,Kaylee Smiler (2nd),2.1,3.9,334,16.7,1.9,0.2,1.7,0.7,1.54,13.9,38.7,-2.3,1.4,-0.1,1.5
8,Lauren Gustin,21,20,,652,98,203,0.483,0,3,0,98,200,0.49,,40,60,0.667,73,185,258,39,20,6,43,44,236,229,1.03,220.7,1305,67,16.9,15.6,4.6,0.0,3.0,3.3,5.6,14.2,19.8,1.5,0.5,3.4,46.6%,16.6%,16.6%,14.2%,8.3%,19.0%,SF,3,5.6,5.4,5.0,2.94,5.4,5.0,2.98,5.5,5.0,3.00,5.5,5.0,3.4,3.5,3.5,3.01,3.5,3.5,3.00,3.5,3.5,3.00,3.5,3.5,Lauren Gustin,0.860,-0.695,-0.306,0.389,1.034,-0.964,0.181,0.181,0.000,1.008,0.703,-0.367,2.3,-0.1,3.6,0.6,0.6,7.1,77.6%,5.5,Lauren Gustin,0.605,-0.417,-0.184,0.477,0.476,-0.882,0.422,0.103,0.000,0.294,0.097,-0.439,2.9,-1.5,3.8,-1.0,0.2,4.4,77.6%,3.5,Lauren Gustin (2nd),5.0,3.5,652,32.6,2.7,2.6,0.1,2.1,3.62,27.2,0.0,0.0,2.7,2.6,0.1
9,Paisley Johnson,21,21,,627,101,253,0.399,35,108,0.324,66,145,0.455,,51,67,0.761,11,35,46,72,14,0,43,51,288,282,1.02,269.2,1255,80,21.5,20.2,5.3,2.8,5.7,3.4,0.9,2.8,3.7,1.1,0.0,4.1,8.6%,12.1%,20.0%,27.2%,0.0%,23.6%,PG,1,1.8,1.8,1.8,2.94,1.8,1.8,2.98,1.8,1.8,3.00,1.8,1.8,2.2,2.3,2.3,3.01,2.3,2.3,3.00,2.3,2.3,3.00,2.3,2.3,Paisley Johnson,0.860,-0.631,-0.278,0.389,0.675,-0.964,0.523,0.130,0.000,1.294,1.197,-0.367,5.3,0.6,0.8,0.0,-1.5,5.2,74.7%,3.9,Paisley Johnson,0.605,-0.376,-0.165,0.477,0.476,-0.642,0.568,-0.067,0.000,0.201,0.594,-0.439,5.8,0.5,0.3,-1.6,-1.3,3.8,74.7%,2.9,Paisley Johnson (4th),1.8,2.3,627,29.9,0.8,2.0,-1.2,0.6,2.08,25.1,0.0,-0.4,0.8,2.0,-1.2
10,Babalu Ugwu,21,4,,23,1,7,0.143,0,3,0,1,4,0.25,,2,2,1,2,4,6,0,1,1,3,3,4,8,0.51,3.5,46,-2,7.6,15.2,4.3,0.0,0.0,6.5,4.3,8.7,13.0,2.2,2.2,6.5,30.7%,23.6%,32.0%,0.0%,39.3%,-14.5%,SF,3,5.2,3.7,3.7,2.94,3.7,3.7,2.98,3.8,3.8,3.00,3.8,3.8,7.2,5.0,5.0,3.01,5.0,5.0,3.00,5.0,5.0,3.00,5.0,5.0,Babalu Ugwu,0.860,-0.780,-0.343,0.389,0.894,-0.964,0.314,0.161,0.000,1.119,0.895,-0.367,-6.9,-6.3,2.8,2.0,2.8,-5.6,2.7%,-0.2,Babalu Ugwu,0.605,-0.472,-0.208,0.477,0.476,-0.789,0.479,0.037,0.000,0.258,0.290,-0.439,-3.5,-5.1,2.4,-1.7,0.9,-7.1,2.7%,-0.2,Babalu Ugwu (3rd),3.8,5.0,23,5.8,-10.0,-8.9,-1.1,-0.3,-0.22,2.9,142.3,-4.2,-5.1,-4.9,-0.2
